family,description,spec_json,complexity,positive_development_folds,robust_score,train_trades,train_wins,train_losses,train_win_rate,train_net_pnl,train_average_pnl,train_ci_lower,train_ci_upper,validation_trades,validation_wins,validation_losses,validation_win_rate,validation_net_pnl,validation_average_pnl,validation_ci_lower,validation_ci_upper,full_trades,full_wins,full_losses,full_win_rate,full_net_pnl,full_average_pnl,full_ci_lower,full_ci_upper
binary_le_2,"last 8 digits match HLLHHHLH, where L <= 2","{""kind"":""binary_suffix"",""pattern"":[0,1,1,0,0,0,1,0],""threshold"":2}",8,4,-0.40445199462488246,192,129,63,0.671875,3.7500000000000107,0.019531250000000056,0.6026576051055519,0.7343496884340015,113,68,45,0.6017699115044248,-2.1499999999999932,-0.019026548672566312,0.5095979469930071,0.6872499889378169,427,275,152,0.6440281030444965,1.8000000000000256,0.004215456674473128,0.5975141162730992,0.6879737296196278
binary_le_6,"last 7 digits match LLHLLHH, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[1,1,0,1,1,0,0],""threshold"":6}",7,3,0.39431955314384054,318,208,110,0.6540880503144654,3.1000000000000156,0.009748427672956025,0.6002492989896813,0.7042484508002183,184,118,66,0.6413043478260869,0.5000000000000107,0.002717391304347884,0.5697658482280897,0.7070633476611793,669,429,240,0.6412556053811659,1.8000000000000256,0.002690582959641294,0.6041991869743998,0.6766990803994105
three_bins_3_6,last 5 digits have bin pattern 10202 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,0,2,0,2]}",5,3,0.7961012519999549,215,142,73,0.6604651162790698,2.850000000000012,0.013255813953488429,0.5948443214890506,0.7204524251686957,140,92,48,0.6571428571428571,1.6000000000000085,0.01142857142857149,0.5752629486648756,0.7306293883618803,449,289,160,0.643652561247216,1.8000000000000185,0.004008908685968861,0.5983070731114958,0.6865608370307125
binary_le_6,"last 7 digits match HHHHLLL, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[0,0,0,0,1,1,1],""threshold"":6}",7,2,0.054853679545314046,139,88,51,0.6330935251798561,-0.2499999999999929,-0.0017985611510790856,0.5503958265388407,0.7086326117414299,70,46,24,0.6571428571428571,0.8000000000000043,0.01142857142857149,0.5403954969794421,0.7575401119773312,303,196,107,0.6468646864686468,1.7500000000000142,0.005775577557755822,0.5915172716025633,0.6985347974433215
binary_le_5,"last 8 digits match HHLHLHLL, where L <= 5","{""kind"":""binary_suffix"",""pattern"":[0,0,1,0,1,0,1,1],""threshold"":5}",8,2,0.013744070374191453,155,98,57,0.632258064516129,-0.3499999999999943,-0.0022580645161289956,0.5540045004820472,0.7041145089025383,106,72,34,0.6792452830188679,2.500000000000007,0.023584905660377426,0.5854617194006705,0.7604914426201602,333,215,118,0.6456456456456456,1.700000000000017,0.005105105105105156,0.5928776018899321,0.6950917007594622
three_bins_3_6,last 5 digits have bin pattern 11012 for bins 0-3/4-6/7-9,"{""boundaries"":[3,6],""kind"":""categorical_suffix"",""pattern"":[1,1,0,1,2]}",5,3,-0.03866943748507094,165,103,62,0.6242424242424243,-1.0999999999999908,-0.006666666666666611,0.5483078393562717,0.694523514307529,80,56,24,0.7,2.8000000000000043,0.03500000000000005,0.5923184607866026,0.7893542873991866,322,208,114,0.6459627329192547,1.700000000000017,0.005279503105590115,0.5922888230643463,0.6961950314464048
exact_digits,last digits equal 0-9,"{""kind"":""exact_suffix"",""pattern"":[0,9]}",2,2,-1.1975574536060811,463,296,167,0.6393088552915767,0.7500000000000213,0.0016198704103672166,0.5945875949643773,0.6817374776327991,251,149,102,0.5936254980079682,-5.899999999999984,-0.023505976095617467,0.5318955668469503,0.6525328233274645,968,619,349,0.6394628099173554,1.6500000000000483,0.0017045454545455046,0.6087186026149104,0.6691044903900315
three_bins_2_5,last 5 digits have bin pattern 10212 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[1,0,2,1,2]}",5,3,0.0762332998082363,219,142,77,0.6484018264840182,1.45000000000001,0.006621004566210091,0.583101818881298,0.7085853758803429,118,74,44,0.6271186440677966,-0.5999999999999943,-0.005084745762711816,0.5371533940606601,0.7090682146624345,456,293,163,0.6425438596491229,1.5500000000000256,0.0033991228070176,0.597533586112029,0.6851725455477762
binary_le_6,"last 7 digits match LLLLHHH, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[1,1,1,1,0,0,0],""threshold"":6}",7,2,-0.08616293423234027,322,203,119,0.6304347826086957,-1.049999999999983,-0.0032608695652173382,0.5764649227348158,0.6813291600194724,158,100,58,0.6329113924050633,-0.29999999999999005,-0.001898734177215127,0.5554287519463293,0.7040844797437796,662,424,238,0.6404833836858006,1.5000000000000284,0.0022658610271903755,0.6032156778792497,0.6761300996117376
binary_le_6,"last 6 digits match HLHLHL, where L <= 6","{""kind"":""binary_suffix"",""pattern"":[0,1,0,1,0,1],""threshold"":6}",6,3,-0.20664128021635728,387,254,133,0.6563307493540051,4.250000000000021,0.010981912144702897,0.6076844931336934,0.7019039532023207,227,141,86,0.6211453744493393,-1.899999999999988,-0.008370044052863382,0.5565185654589123,0.6817401956881536,788,504,284,0.6395939086294417,1.4000000000000483,0.0017766497461929548,0.6054689993785524,0.6723643946036858
binary_le_4,"last 7 digits match LLLHHLL, where L <= 4","{""kind"":""binary_suffix"",""pattern"":[1,1,1,0,0,1,1],""threshold"":4}",7,2,-1.543970904741668,388,231,157,0.595360824742268,-8.749999999999979,-0.02255154639175252,0.5458191110537,0.6430327787455933,180,118,62,0.6555555555555556,1.9000000000000092,0.010555555555555606,0.5835387271294007,0.7210715624060974,766,490,276,0.639686684073107,1.400000000000034,0.0018276762402089218,0.6050691003715081,0.6729102128338662
three_bins_2_5,last 5 digits have bin pattern 21021 for bins 0-2/3-5/6-9,"{""boundaries"":[2,5],""kind"":""categorical_suffix"",""pattern"":[2,1,0,2,1]}",5,3,0.8417112005113799,192,127,65,0.6614583333333334,2.6500000000000092,0.013802083333333381,0.5919401674170741,0.7246424416655366,118,78,40,0.6610169491525424,1.600000000000005,0.013559322033898348,0.5717356110091416,0.740145093373445,414,266,148,0.642512077294686,1.40000000000002,0.0033816425120773426,0.5952302289727351,0.687173533289249
